audiocap_id,youtube_id,start_time,caption
97151,vfY_TJq7n_U,130,"Rustling occurs, ducks quack and water splashes, followed by an adult female and adult male speaking and duck calls being blown"
108945,tdWhHV3X25Q,60,An audience gives applause as a man yells and a group sings
107898,tw76HGONaKg,570,A man speaks over intermittent keyboard taps
107893,y2bVZ7rz-5M,280,Motor noise is followed by a horn honking and a siren wailing
107892,ti66RjZWTp0,20,A male speaks as metal clicks and a gun fires once
107890,uYT5gxnyMWM,50,"A young female speaks, followed by spraying and a female screaming"
107897,yVPZ2MNWpms,0,An airplane engine runs
107895,y682ml90jGw,11,A machine beeps continuously
109315,vr8ZXjEBhMQ,150,Wind blowing followed by a zoom
109312,sZ29AZCjWTE,60,A baby sneezes followed by another person laughing
99850,xhmRY9yhC7c,20,An infant crying as a woman laughs
102364,ziUT9IFTkjg,10,Leaves rustling followed by a small bell chiming as birds chirp in the background
107709,vJ7JPEFhyLA,16,Water flows as men speak and yell
108104,uiS58TNyUiw,430,Pigeons vocalize and birds chirp
108106,tDlysoZiA1I,0,"Various birds chirp and squeal, and an animal grunts"
108100,wqTCwqVRDlk,80,People speak as gunfire rings out
108101,y8WEcpOlT3I,40,A harsh wind blows as a man speaks and another man speaks
108103,tgbONvsP47Y,0,Vehicles pass by on a roadway
108108,vh30P49Po6s,30,A duck quacks continuously
108109,uEU-Hg5MTN8,27,A woman speaks and laughs and an animal grunts and snorts
109275,u0T_rcHhkPQ,20,A car speeding up in the distance
109274,uYT5gxnyMWM,50,A girl speaks followed by a scream and more girls talking
109271,vb1fPSD_I4c,30,Multiple people speak and children yell while water gurgles
109273,tB7hWb9gTuQ,30,Water flows and trickles
109272,vz8868znkVQ,60,A clicking followed by some people laughing and a kid speaking
109278,uZesmtKZGSw,250,Some men talk among st themselves as cars speed and race loudly
107850,t97k0cejSQE,250,"Birds chirp, a woman speaks, and insects buzz"
108417,zO-LSSY92ZM,30,Someone sprays a liquid onto a hard surface making a hiss sound
109317,viuTg1M-dqg,30,A man speaks followed by another man speaking outside
108518,sQwlkXjQabo,10,Water is sprayed across a hard surface
109101,su6FAOcOA8c,4,A bus engine idles while a woman speaks making an announcement
108517,sK4u5T8hW78,30,A man speaks as a car is passing by
108516,yPUYU6t3rwo,370,Birds chirp and objects are moved around
108515,ugHJF0hfYkg,10,A propeller rotates loudly and intensely
108514,wvKpEYswXO0,150,Plastic is tapped on while someone speaks
107459,sKOlWpaJlmQ,500,A vehicle moves while the wind blows and a man talks
109362,xKB8O8LTs6s,70,Music plays and someone speaks before gunfire and an explosion occurs
108366,x-PeY8Yb8M4,300,A stream of water runs briefly
108367,wTjoRj1se3U,390,An airplane engine spools and people speak
108368,yW6FWLSLkx4,40,A child speaks in closed space
108369,yNs0UzEiOds,0,Wind blowing and leave are rustling
109365,y207L3EF-Tw,260,A woman speaks while birds squawk in the background
96987,vYkA3cfXp5Q,30,A vehicle engine accelerating then running on idle
109284,v0x1odnXtP0,210,Someone is typing on a computer keyboard
107799,zVacuqSb4LI,30,A train horn blows as it passes by
109283,vlS6YMeWAPo,40,A sheep baa followed by birds chirping and then more sheep baaing
107797,tIbCQaV0kMs,0,A baby cries and fusses
107916,uWAAAL4CIoc,0,A woman speaks happily and an animal chirps
107917,zF_jIWfSD-4,410,People converse as a motor runs and air brakes hiss
107912,wSV_hSdj0F0,10,"A horn honks twice and keys jingle, followed by an electronic beep"
101987,zPpG3RD8lSs,20,Paper folding and crinkling
107621,uEU-Hg5MTN8,27,A young woman speaks and laughs and an animal snorts
109015,uyRfq-jKPpo,50,Water pouring and bubbling
109017,tAJk7rQlSi4,320,A bell chimes melodically
108315,yeFvk9x0wWI,30,A wooden clack accompanies nearby chirping birds
108314,xBxDz0CFVn0,30,A stream of water flows as people talk and wind blows
108317,v25l1jef3JY,0,An insect buzzes around continuously
108316,xjhAnI2q6hM,6,People cheer as a vehicle engine revs
108311,wz7N8YRy74I,30,A man speaks and a rooster crows while men talk in the background
108310,sIXTftIuUgw,90,Someone whistles a tune
108313,u6BnG6YZqJ4,0,Some tunes played by whistling
108312,vzxHnu-SFEw,80,A woman speaks as she rubs two objects together
108319,yFB25fqfU8I,300,Waves crash against a shoreline and people speak
109770,vbZ-0lGPneg,30,Television program is played far away while a woman talks and birds tweet nearby
109773,xa-eDgz1Ob4,30,A woman is speaking followed by a screech and annoying tone
108266,v-g-j2uTByM,30,A clock ticktocks
109668,ti_DFTC-5vU,30,A male is speaking and a duck quacks as others laugh
109663,spJCm8tD9Zo,90,Someone snores nearby
109775,s-T9OVOiMLo,330,Several insects fly while two men talk
109667,xZepNM9qcRA,30,A man speaks as a motor runs in the background
109776,v-wcQf4BDY0,120,Small dogs yip and bark sharply
109777,tG_cFnX0GHI,0,A telephone rings followed by a woman talking
109635,wDVMhEdTiVw,30,"A gun shoots, followed by water sloshing nearby"
109634,sLUnaPT5gM8,0,Loud intermittent buzzing with intermittent laughter
95987,ukg5L09Wpvo,150,A train whistle keeps going off while the clickety-clack of the train on the rails are continuous
99753,xd8QKzoQuAM,0,Music plays then a man speaks before multiple noises collide
95666,uVJOoZkis2A,30,Some clinking with people speaking and laughing
109429,sC_i_y7QS1U,300,Some men converse over an engine running
109424,w34HjHr6gAY,30,Several beeps are followed by a hit and a woman talking
109427,vJ7JPEFhyLA,16,Three men talk while wind blows and some liquid flows
109420,zj2R0XoFr5k,50,"A small airplane approaches and then flies by, after and during which a boy speaks"
109422,sSMl2vc3e_k,20,A person snores loudly multiple times at a close distance
109423,slZLHwNbbt4,300,A horn rings out as a machine runs by
108520,u0T_rcHhkPQ,20,A car accelerates and wind blows
108643,tgbONvsP47Y,0,Roadway noise occurs and a truck accelerates
108629,w5W_5Kqtc8E,100,A vehicle engine runs and wind blows before women yell
108628,sK4u5T8hW78,30,A man speaks as a car is passing by
108436,v5cSxLaHADY,0,Paper is crumpling consistently
108437,sQGXqGcwOTc,3,Dishes cling together then a man begins to speak
108430,tezvROoo4bs,40,The revving of an engine throttle followed by a man speaking
108431,tDVADusiIoc,60,A man speaks over a radio as wind blows and water splashes
108432,sd_XV-ylviw,190,Water splashes and a door squeaks
108438,w1ir-sZ3Im8,90,Water splashes as an animal walks through
109745,yaln9y8I7ms,230,A toilet flushes and a female speaks
109746,vH4z5OI5aNY,30,Men speak as an engine revs to life
109741,wqZ135_Ssz0,60,Two men and a woman talk while wind blows and birds tweet
109743,xfaoyyzw2WU,180,"A jet engine roars, almost making a man inaudible"
109742,yfVR79cQ_Mg,30,Insects hitter as two men speak quietly
109749,zwOBqeFTgiU,30,An infant crying frantically